City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,pacocha,-17.5833,-71.3333,16.61,82,12,1.23,PE,1690149307
253,shingu,33.7333,135.9833,25.8,81,7,1.09,JP,1690149307
254,novyy urgal,51.0736,132.5642,16.9,99,100,1.7,RU,1690149308
255,stettler,52.3168,-112.7186,26.86,54,10,3.09,CA,1690149308
256,cartagena,10.3997,-75.5144,31.79,70,20,6.17,CO,1690148667
257,ji'an,27.1172,114.9793,25.34,93,58,1.2,CN,1690149309
258,sitangkai,4.6628,119.3928,28.55,75,100,5.49,PH,1690149309
259,al mayadin,35.0209,40.4535,35.14,16,0,7.06,SY,1690149309
260,garoowe,8.4054,48.4845,27.09,50,59,12.58,SO,1690149309
261,shemgang,27.2169,90.6579,16.09,96,100,1.44,BT,1690149310
262,las trojes,14.0667,-85.9833,26.12,69,64,3.03,HN,1690149311
263,hami,42.8,93.45,28.08,16,51,4.9,CN,1690149229
264,cuajinicuilapa,16.4667,-98.4167,32.94,53,32,4.48,MX,1690149312
265,pinotepa nacional,16.3167,-98.0167,32.05,53,27,4.1,MX,1690149312
266,vel'sk,61.0701,42.0983,11.15,98,16,2.23,RU,1690149313
267,kargasok,59.0556,80.8572,17.8,68,100,2.55,RU,1690149313
268,mili,6.0815,171.735,28.02,80,32,7.54,MH,1690149314
269,hohhot,40.8106,111.6522,18.16,82,20,1.0,CN,1690149314
270,castillos,-34.1667,-53.8333,11.14,72,80,3.79,UY,1690149251
271,canton,23.1167,113.25,29.93,81,89,1.53,CN,1690149314
272,gunnedah,-30.9833,150.25,9.66,85,2,3.69,AU,1690149315
273,awjilah,29.1081,21.2869,31.05,36,0,4.01,LY,1690149315
274,ciudad lazaro cardenas,17.9583,-102.2,31.19,61,20,4.44,MX,1690149297
275,melo,-32.3667,-54.1833,14.77,57,91,2.85,UY,1690149316
276,praia,14.9215,-23.5087,27.3,69,75,5.14,CV,1690149316
277,zakynthos,37.7914,20.8953,29.24,68,0,1.62,GR,1690149316
278,general conesa,-40.1,-64.4333,7.48,49,100,3.56,AR,1690149317
279,livingston,55.9029,-3.5226,12.69,83,20,3.6,GB,1690149317
280,copiapo,-27.3667,-70.3333,13.83,46,42,1.66,CL,1690149317
281,allen,41.0706,-85.0144,27.53,66,75,3.09,US,1690149318
282,mranggen,-7.0268,110.5158,24.91,78,40,2.06,ID,1690149318
283,punta arenas,-53.15,-70.9167,-0.77,83,7,3.09,CL,1690149145
284,khandyga,62.6667,135.6,19.62,75,13,1.19,RU,1690149318
285,shahin dezh,36.6793,46.5669,24.82,37,13,2.31,IR,1690149319
286,dongola,19.1667,30.4833,33.09,12,96,3.07,SD,1690149319
287,lihue,21.9789,-159.3672,28.77,75,100,7.72,US,1690149320
288,klyuchi,52.2667,79.1667,19.22,67,96,2.71,RU,1690149299
289,martapura,-3.4167,114.85,23.05,94,61,0.0,ID,1690149320
290,kone,-21.0595,164.8658,20.71,48,2,1.54,NC,1690149321
291,vredendal,-31.6683,18.5012,9.11,79,3,2.63,ZA,1690149321
292,new norfolk,-42.7826,147.0587,11.51,87,96,2.05,AU,1690149312
293,alofi,-19.0595,-169.9187,24.94,65,68,6.69,NU,1690149322
294,uturoa,-16.7333,-151.4333,25.71,75,35,5.6,PF,1690149317
295,burgersdorp,-30.9977,26.3286,5.74,26,72,1.61,ZA,1690149322
296,vila franca do campo,37.7167,-25.4333,22.23,82,42,3.56,PT,1690149323
297,codrington,-38.2667,141.9667,11.22,84,100,3.01,AU,1690149323
298,san pedro pochutla,15.7333,-96.4667,22.84,62,97,2.22,MX,1690149324
299,manzanillo,20.3433,-77.1167,32.85,54,6,1.35,CU,1690148736
300,vorgashor,67.5833,63.95,14.52,97,100,2.93,RU,1690149170
301,askoy,60.4092,5.226,15.42,50,40,3.09,NO,1690149325
302,hadibu,12.65,54.0333,24.72,82,100,10.94,YE,1690150914
303,tsengel,49.4783,100.8894,10.58,78,14,2.56,MN,1690151057
304,ceyrat,45.7318,3.0633,22.35,60,0,2.57,FR,1690151058
305,machico,32.7,-16.7667,22.62,80,40,2.57,PT,1690151058
306,betio village,1.358,172.9211,31.02,74,100,5.26,KI,1690151058
307,karasburg,-28.0167,18.75,9.21,24,100,2.98,NA,1690151058
308,tynda,55.1667,124.7167,17.63,76,100,1.07,RU,1690151059
309,timimoun,29.2639,0.231,40.21,13,63,2.06,DZ,1690151059
310,i-n-salah,27.1935,2.4607,38.49,11,24,4.4,DZ,1690150909
311,liberal,37.0431,-100.921,34.58,19,1,2.24,US,1690151060
312,podporozh'ye,60.9112,34.1706,11.95,90,77,2.66,RU,1690151060
313,trinidad,-14.8333,-64.9,30.99,51,20,0.0,BO,1690151060
314,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,68,40,6.0,RU,1690151060
315,tamanrasset,22.785,5.5228,33.95,8,0,3.09,DZ,1690151061
316,swakopmund,-22.6833,14.5333,8.47,81,7,1.42,NA,1690151061
317,maniago,46.1706,12.7078,21.79,92,10,1.68,IT,1690151061
318,susuman,62.7833,148.1667,13.63,63,53,2.3,RU,1690150949
319,kimovsk,53.9716,38.5319,12.92,93,70,3.02,RU,1690151062
320,kununurra,-15.7667,128.7333,15.99,33,80,5.66,AU,1690151062
321,bodo,67.28,14.405,13.76,91,75,1.03,NO,1690150896
322,howard springs,-12.497,131.047,16.01,28,37,5.75,AU,1690151062
323,san jose,37.3394,-121.895,36.6,40,40,5.66,US,1690151017
324,ibarreta,-25.2144,-59.8585,28.17,34,64,1.2,AR,1690151063
325,hithadhoo,-0.6,73.0833,28.13,76,86,4.58,MV,1690150893
326,morehead city,34.7229,-76.726,30.01,74,20,5.14,US,1690150814
327,selfoss,63.9331,-20.9971,12.8,76,100,2.51,IS,1690150923
328,pacific grove,36.6177,-121.9166,24.89,83,0,4.47,US,1690151064
329,haiku-pauwela,20.9219,-156.3051,29.01,68,40,10.8,US,1690151064
330,dzhangala,49.2167,50.3333,25.62,38,93,5.52,KZ,1690150965
331,bairnsdale,-37.8333,147.6167,7.25,95,85,2.49,AU,1690151065
332,chateau-du-loir,47.6949,0.4185,19.39,76,100,3.96,FR,1690151065
333,black river,18.0264,-77.8487,30.89,61,12,5.84,JM,1690151065
334,port macquarie,-31.4333,152.9167,11.05,76,86,5.09,AU,1690151065
335,agadez,19.75,10.25,34.29,15,45,3.46,NE,1690151066
336,wenchang,30.904,118.4887,24.65,94,0,1.88,CN,1690151066
337,balkh,36.75,67.0,32.54,15,40,5.0,AF,1690151066
338,calama,-22.4667,-68.9333,22.27,7,0,6.69,CL,1690151046
339,aoulef,26.9667,1.0833,39.45,15,40,2.97,DZ,1690151067
340,galesong,-5.3166,119.3661,21.01,75,7,2.34,ID,1690150909
341,remire-montjoly,4.9167,-52.2667,26.02,94,40,1.03,GF,1690151067
342,guaratinga,-16.5667,-39.5667,19.01,97,20,1.38,BR,1690151068
343,plastun,44.7561,136.2939,19.45,100,100,0.41,RU,1690151068
344,bol,13.4586,14.7147,26.23,79,96,4.28,TD,1690151070
345,butare,-2.5967,29.7394,14.85,60,71,1.58,RW,1690151070
346,aibak,36.2647,68.0155,26.1,24,68,2.04,AF,1690151070
347,pandan,14.0453,124.1694,27.28,88,100,11.83,PH,1690150928
348,vilyuchinsk,52.9306,158.4028,20.15,79,68,5.6,RU,1690151071
349,shanghai,31.2222,121.4581,28.85,88,40,3.13,CN,1690151072
350,sulak,43.2734,47.5146,25.61,64,98,1.33,RU,1690151072
351,cheney,47.4874,-117.5758,35.55,19,20,2.57,US,1690150922
352,eyl,7.9803,49.8164,26.19,65,75,12.22,SO,1690150904
353,duba-yurt,43.0372,45.7319,21.54,80,40,2.49,RU,1690151073
354,chernyshevskiy,63.0128,112.4714,19.9,66,11,1.41,RU,1690150926
355,marietta,33.9526,-84.5499,32.82,48,0,3.6,US,1690150792
356,vorkuta,67.5,64.0,14.56,97,100,3.14,RU,1690151074
357,krasnovishersk,60.4078,57.082,11.76,93,57,1.03,RU,1690151074
358,itoman,26.1247,127.6694,29.43,84,40,5.14,JP,1690151075
359,labytnangi,66.6572,66.4183,14.67,92,71,2.57,RU,1690150916
360,kingston,17.997,-76.7936,34.58,60,20,10.8,JM,1690150823
361,vilyuysk,63.7553,121.6247,21.53,66,15,2.57,RU,1690151075
362,independence,39.0911,-94.4155,35.02,45,20,6.17,US,1690151076
363,east london,-33.0153,27.9116,14.48,70,100,7.45,ZA,1690151076
364,lorengau,-2.0226,147.2712,27.39,79,96,2.8,PG,1690151076
365,maitum,6.0392,124.4986,25.24,85,100,1.28,PH,1690151077
